ID	Age	Embarked	Fare	Pclass	Sex	Survived	
1	<16.13336;32.10002)	S	very high	1	female	1	
2	<0.1667;16.13336)	S	very high	1	male	1	
3	<0.1667;16.13336)	S	very high	1	female	0	
4	<16.13336;32.10002)	S	very high	1	male	0	
5	<16.13336;32.10002)	S	very high	1	female	0	
6	<32.10002;48.06668)	S	higher	1	male	1	
7	<48.06668;64.03334)	S	very high	1	female	1	
8	<32.10002;48.06668)	S	very low	1	male	0	
9	<48.06668;64.03334)	S	very high	1	female	1	
10	<64.03334;80>	C	very high	1	male	0	
11	<32.10002;48.06668)	C	very high	1	male	0	
12	<16.13336;32.10002)	C	very high	1	female	1	
13	<16.13336;32.10002)	C	very high	1	female	1	
14	<16.13336;32.10002)	S	very high	1	female	1	
15	<64.03334;80>	S	higher	1	male	1	
16		S	higher	1	male	0	
17	<16.13336;32.10002)	C	very high	1	male	0	
18	<48.06668;64.03334)	C	very high	1	female	1	
19	<16.13336;32.10002)	C	very high	1	female	1	
20	<32.10002;48.06668)	C	very high	1	male	0	
21	<32.10002;48.06668)	S	very high	1	male	1	
22	<32.10002;48.06668)	S	very high	1	female	1	
23	<16.13336;32.10002)	C	higher	1	male	1	
24	<32.10002;48.06668)	C	very high	1	female	1	
25	<16.13336;32.10002)	S	very high	1	female	1	
26	<16.13336;32.10002)	C	higher	1	male	0	
27	<16.13336;32.10002)	C	very high	1	male	1	
28	<16.13336;32.10002)	C	very high	1	female	1	
29	<32.10002;48.06668)	S	very high	1	female	1	
30	<16.13336;32.10002)	S	higher	1	male	1	
31	<32.10002;48.06668)	S	higher	1	male	0	
32	<32.10002;48.06668)	C	higher	1	male	1	
33	<16.13336;32.10002)	S	very high	1	female	1	
34	<48.06668;64.03334)	S	higher	1	female	1	
35	<32.10002;48.06668)	S	higher	1	male	0	
36	<32.10002;48.06668)	C	very high	1	female	1	
37	<16.13336;32.10002)	S	very high	1	female	1	
38		S	higher	1	male	1	
39	<32.10002;48.06668)	S	higher	1	male	0	
40	<32.10002;48.06668)	C	very high	1	male	0	
41		C	higher	1	male	0	
42	<32.10002;48.06668)	C	higher	1	female	1	
43	<48.06668;64.03334)	S	very high	1	female	1	
44	<48.06668;64.03334)	C	very high	1	female	1	
45	<32.10002;48.06668)	C	very high	1	female	1	
46	<32.10002;48.06668)	S	higher	1	male	0	
47		S	higher	1	male	0	
48	<32.10002;48.06668)	S	higher	1	male	1	
49	<48.06668;64.03334)	C	higher	1	female	1	
50	<32.10002;48.06668)	C	very high	1	male	1	
51	<48.06668;64.03334)	C	very high	1	female	1	
52	<32.10002;48.06668)	S	very low	1	male	0	
53	<16.13336;32.10002)	S	very high	1	male	0	
54	<16.13336;32.10002)	S	very high	1	male	0	
55	<0.1667;16.13336)	S	very high	1	male	1	
56	<0.1667;16.13336)	S	very high	1	female	1	
57	<32.10002;48.06668)	S	very high	1	male	1	
58	<32.10002;48.06668)	S	very high	1	female	1	
59	<48.06668;64.03334)	S	higher	1	male	0	
60		C	higher	1	female	1	
61	<32.10002;48.06668)	S	very high	1	male	0	
62	<64.03334;80>	S	very high	1	female	1	
63	<32.10002;48.06668)	S	very high	1	male	0	
64	<32.10002;48.06668)	S	very high	1	female	1	
65	<16.13336;32.10002)	S	very high	1	male	1	
66	<32.10002;48.06668)	S	very high	1	female	1	
67	<32.10002;48.06668)	C	very high	1	female	1	
68	<16.13336;32.10002)	S	very high	1	female	1	
69	<32.10002;48.06668)	C	higher	1	male	1	
70		S	very high	1	female	1	
71		S	very low	1	male	0	
72	<16.13336;32.10002)	C	very high	1	male	0	
73	<16.13336;32.10002)	C	very high	1	female	1	
74	<16.13336;32.10002)	S	very high	1	female	1	
75		S	very high	1	male	0	
76	<32.10002;48.06668)	S	higher	1	male	0	
77	<32.10002;48.06668)	C	very high	1	female	1	
78	<32.10002;48.06668)	C	very high	1	male	0	
79	<48.06668;64.03334)	C	very high	1	female	1	
80	<48.06668;64.03334)	S	higher	1	female	1	
81		S	higher	1	male	0	
82	<64.03334;80>	S	very high	1	male	0	
83	<32.10002;48.06668)	S	very high	1	female	1	
84	<48.06668;64.03334)	S	higher	1	female	1	
85	<32.10002;48.06668)	C	very high	1	male	0	
86	<32.10002;48.06668)	C	very high	1	female	1	
87	<48.06668;64.03334)	S	higher	1	male	1	
88	<16.13336;32.10002)	S	higher	1	male	1	
89	<32.10002;48.06668)	S	very high	1	female	1	
90	<16.13336;32.10002)	S	very high	1	male	0	
91	<16.13336;32.10002)	S	very high	1	female	1	
92	<16.13336;32.10002)	S	very high	1	male	1	
93	<16.13336;32.10002)	S	very high	1	female	1	
94	<48.06668;64.03334)	S	very high	1	male	1	
95	<0.1667;16.13336)	S	very high	1	male	1	
96	<48.06668;64.03334)	S	very high	1	female	1	
97	<48.06668;64.03334)	C	very high	1	male	0	
98	<16.13336;32.10002)	C	very high	1	female	1	
99	<32.10002;48.06668)	C	very high	1	female	1	
100	<32.10002;48.06668)	C	higher	1	female	1	
101	<48.06668;64.03334)	C	very high	1	male	1	
102	<32.10002;48.06668)	C	higher	1	male	0	
103	<16.13336;32.10002)	C	very high	1	female	1	
104	<32.10002;48.06668)	C	very high	1	female	1	
105	<48.06668;64.03334)	C	very high	1	female	1	
106	<32.10002;48.06668)	C	higher	1	female	0	
107		S	very high	1	male	0	
108		S	higher	1	female	1	
109		C	very high	1	female	1	
110	<32.10002;48.06668)	S	higher	1	male	1	
111	<16.13336;32.10002)	C	higher	1	male	0	
112	<16.13336;32.10002)	S	very high	1	female	1	
113	<16.13336;32.10002)	S	very high	1	female	1	
114	<16.13336;32.10002)	S	very high	1	female	1	
115	<16.13336;32.10002)	S	very high	1	male	0	
116	<48.06668;64.03334)	S	very high	1	male	0	
117	<48.06668;64.03334)	S	very high	1	female	1	
118	<16.13336;32.10002)	C	very high	1	female	1	
119		S	higher	1	male	0	
120	<48.06668;64.03334)	S	very high	1	male	1	
121	<32.10002;48.06668)	C	higher	1	male	1	
122		S	very high	1	female	1	
123	<16.13336;32.10002)	C	very high	1	female	1	
124	<48.06668;64.03334)	C	very high	1	male	1	
125	<32.10002;48.06668)	C	very high	1	female	1	
126		S	very low	1	male	0	
127	<32.10002;48.06668)	S	very high	1	male	0	
128	<32.10002;48.06668)	S	very high	1	female	1	
129	<32.10002;48.06668)	S	higher	1	male	0	
130	<32.10002;48.06668)	C	very high	1	female	1	
131	<16.13336;32.10002)	C	very high	1	female	1	
132	<32.10002;48.06668)	C	very high	1	female	1	
133	<16.13336;32.10002)	C	very high	1	male	0	
134	<48.06668;64.03334)	C	very high	1	male	1	
135		C	very high	1	female	1	
136	<64.03334;80>	C	higher	1	male	0	
137	<48.06668;64.03334)	C	higher	1	male	1	
138	<16.13336;32.10002)	S	higher	1	female	1	
139	<32.10002;48.06668)	S	very high	1	male	0	
140	<48.06668;64.03334)	S	very high	1	female	1	
141	<16.13336;32.10002)	C	very high	1	male	1	
142	<32.10002;48.06668)	C	very high	1	female	1	
143	<32.10002;48.06668)	C	very high	1	male	0	
144	<16.13336;32.10002)	C	very high	1	male	1	
145	<16.13336;32.10002)	C	very high	1	female	1	
146	<32.10002;48.06668)	C	very high	1	male	1	
147	<48.06668;64.03334)	C	very high	1	female	1	
148		S	very high	1	male	0	
149	<32.10002;48.06668)	S	very high	1	male	0	
150	<32.10002;48.06668)	S	very high	1	female	1	
151	<32.10002;48.06668)	S	very low	1	male	0	
152	<16.13336;32.10002)	C	very high	1	male	1	
153		S	higher	1	male	1	
154	<16.13336;32.10002)	C	very high	1	female	1	
155	<48.06668;64.03334)	S	very high	1	male	0	
156	<48.06668;64.03334)	S	very high	1	female	1	
157	<32.10002;48.06668)	S	very high	1	male	0	
158		S	very high	1	male	0	
159	<48.06668;64.03334)	S	very high	1	male	0	
160	<0.1667;16.13336)	C	very high	1	female	1	
161	<32.10002;48.06668)	C	very high	1	female	1	
162	<48.06668;64.03334)	S	very high	1	female	1	
163	<32.10002;48.06668)	S	very high	1	male	0	
164	<32.10002;48.06668)	S	very high	1	female	1	
165	<32.10002;48.06668)	C	higher	1	male	1	
166	<32.10002;48.06668)	S	very high	1	male	1	
167		C	higher	1	male	0	
168	<32.10002;48.06668)	S	very high	1	female	1	
169	<32.10002;48.06668)		very high	1	female	1	
170	<48.06668;64.03334)	C	higher	1	female	0	
171	<48.06668;64.03334)	S	very low	1	male	1	
172	<32.10002;48.06668)	S	higher	1	male	0	
173	<48.06668;64.03334)	S	higher	1	male	0	
174	<32.10002;48.06668)	C	very high	1	male	0	
175	<48.06668;64.03334)	C	higher	1	male	0	
176	<32.10002;48.06668)	S	very high	1	male	0	
177		S	very high	1	female	1	
178	<32.10002;48.06668)	S	very high	1	male	1	
179	<32.10002;48.06668)	S	very high	1	female	1	
180		S	higher	1	male	0	
181	<32.10002;48.06668)	S	very high	1	female	1	
182	<48.06668;64.03334)	S	higher	1	female	1	
183	<16.13336;32.10002)	C	very high	1	female	1	
184	<32.10002;48.06668)	C	very high	1	male	1	
185		C	higher	1	male	0	
186	<32.10002;48.06668)	S	higher	1	male	0	
187	<48.06668;64.03334)	C	higher	1	female	1	
188	<0.1667;16.13336)	S	higher	1	female	1	
189	<48.06668;64.03334)	S	higher	1	female	1	
190	<16.13336;32.10002)	S	higher	1	male	0	
191	<16.13336;32.10002)	S	very high	1	female	1	
192	<16.13336;32.10002)	S	very high	1	male	0	
193	<48.06668;64.03334)	C	very high	1	female	1	
194	<0.1667;16.13336)	S	very high	1	female	1	
195	<16.13336;32.10002)	S	higher	1	male	0	
196	<0.1667;16.13336)	S	very high	1	female	1	
197		C	higher	1	male	1	
198	<16.13336;32.10002)	S	very high	1	male	0	
199	<16.13336;32.10002)	S	very high	1	female	1	
200	<16.13336;32.10002)	C	very high	1	female	1	
201	<32.10002;48.06668)	C	very high	1	male	0	
202	<48.06668;64.03334)	S	very high	1	male	0	
203	<32.10002;48.06668)	S	higher	1	male	1	
204	<16.13336;32.10002)	C	very high	1	male	0	
205		C	very high	1	female	1	
206	<64.03334;80>	S	higher	1	male	0	
207	<32.10002;48.06668)	Q	very high	1	male	0	
208	<32.10002;48.06668)	Q	very high	1	female	1	
209	<32.10002;48.06668)	Q	very high	1	female	1	
210	<16.13336;32.10002)	C	very high	1	male	1	
211	<48.06668;64.03334)	S	higher	1	male	0	
212	<32.10002;48.06668)	S	very high	1	male	0	
213	<32.10002;48.06668)	C	higher	1	male	0	
214	<16.13336;32.10002)	C	very high	1	female	1	
215	<16.13336;32.10002)	C	very high	1	female	1	
216	<48.06668;64.03334)	C	very high	1	male	0	
217	<16.13336;32.10002)	S	higher	1	female	1	
218	<48.06668;64.03334)	S	higher	1	male	0	
219	<32.10002;48.06668)	C	very high	1	female	1	
220		C	higher	1	male	1	
221	<16.13336;32.10002)	C	very high	1	female	1	
222	<64.03334;80>	C	very high	1	male	0	
223	<16.13336;32.10002)	C	higher	1	male	0	
224		S	very low	1	male	0	
225	<32.10002;48.06668)	S	higher	1	male	0	
226	<16.13336;32.10002)	S	very high	1	male	0	
227	<16.13336;32.10002)	S	very high	1	male	0	
228	<16.13336;32.10002)	S	very high	1	female	1	
229	<16.13336;32.10002)	C	very high	1	male	0	
230	<16.13336;32.10002)	C	very high	1	female	1	
231	<16.13336;32.10002)	S	very high	1	female	1	
232	<48.06668;64.03334)	S	higher	1	male	1	
233	<32.10002;48.06668)	S	very high	1	male	0	
234	<48.06668;64.03334)	C	very high	1	female	1	
235	<32.10002;48.06668)	S	very low	1	male	0	
236		S	higher	1	male	1	
237	<16.13336;32.10002)	C	very high	1	male	0	
238		C	very high	1	male	0	
239	<32.10002;48.06668)	S	very high	1	female	1	
240	<16.13336;32.10002)	S	very high	1	male	0	
241	<32.10002;48.06668)	S	higher	1	male	1	
242		S	very high	1	male	0	
243	<32.10002;48.06668)	C	higher	1	female	1	
244	<32.10002;48.06668)	C	very high	1	male	0	
245	<32.10002;48.06668)	C	higher	1	male	0	
246	<32.10002;48.06668)	S	very high	1	female	1	
247	<48.06668;64.03334)	C	very high	1	male	0	
248	<48.06668;64.03334)	C	very high	1	female	1	
249	<32.10002;48.06668)	S	higher	1	male	0	
250	<0.1667;16.13336)	C	very high	1	male	1	
251	<16.13336;32.10002)	C	very high	1	female	1	
252	<16.13336;32.10002)	C	very high	1	female	1	
253	<48.06668;64.03334)	C	very high	1	male	0	
254	<32.10002;48.06668)	C	very high	1	female	1	
255		S	higher	1	male	1	
256	<16.13336;32.10002)	C	very high	1	female	1	
257		S	higher	1	male	1	
258	<32.10002;48.06668)	C	very high	1	female	1	
259	<16.13336;32.10002)	C	higher	1	female	1	
260	<32.10002;48.06668)	S	higher	1	male	1	
261	<32.10002;48.06668)	S	very high	1	female	1	
262	<32.10002;48.06668)	S	higher	1	male	1	
263	<48.06668;64.03334)	S	very high	1	male	0	
264	<32.10002;48.06668)	S	very high	1	female	1	
265	<48.06668;64.03334)	C	higher	1	male	1	
266	<16.13336;32.10002)	S	higher	1	male	1	
267	<48.06668;64.03334)	S	higher	1	male	0	
268	<48.06668;64.03334)	C	higher	1	male	0	
269	<16.13336;32.10002)	S	very high	1	male	0	
270		S	higher	1	male	0	
271	<16.13336;32.10002)	S	very high	1	female	1	
272	<16.13336;32.10002)	S	very high	1	male	1	
273	<16.13336;32.10002)	S	very high	1	female	1	
274	<0.1667;16.13336)	C	very high	1	male	1	
275	<32.10002;48.06668)	C	very high	1	male	1	
276	<32.10002;48.06668)	C	very high	1	female	1	
277	<48.06668;64.03334)	C	very high	1	male	0	
278		C	very high	1	female	1	
279	<16.13336;32.10002)	C	higher	1	male	1	
280	<48.06668;64.03334)	S	higher	1	male	0	
281	<48.06668;64.03334)	C	very high	1	male	1	
282	<32.10002;48.06668)	C	very high	1	female	1	
283	<48.06668;64.03334)	C	very high	1	female	1	
284		C	higher	1	male	0	
285	<48.06668;64.03334)		very high	1	female	1	
286	<64.03334;80>	S	very high	1	male	0	
287	<48.06668;64.03334)	S	very high	1	female	0	
288	<48.06668;64.03334)	S	higher	1	male	0	
289	<32.10002;48.06668)	S	higher	1	female	1	
290	<16.13336;32.10002)	S	very high	1	female	1	
291	<48.06668;64.03334)	S	very high	1	male	0	
292	<32.10002;48.06668)	S	very high	1	female	1	
293	<32.10002;48.06668)	S	very high	1	male	1	
294		S	very high	1	female	1	
295	<48.06668;64.03334)	C	very high	1	male	0	
296	<16.13336;32.10002)	C	very high	1	male	1	
297	<32.10002;48.06668)	C	very high	1	female	1	
298		C	very high	1	female	1	
299	<16.13336;32.10002)	C	higher	1	male	1	
300	<32.10002;48.06668)	C	higher	1	male	0	
301	<48.06668;64.03334)	S	higher	1	male	0	
302	<32.10002;48.06668)	S	higher	1	male	0	
303	<32.10002;48.06668)	C	very high	1	female	1	
304	<48.06668;64.03334)	C	very high	1	male	0	
305	<48.06668;64.03334)	C	very high	1	female	1	
306	<48.06668;64.03334)	S	higher	1	male	0	
307	<48.06668;64.03334)	S	very high	1	male	0	
308	<16.13336;32.10002)	S	very high	1	male	0	
309	<48.06668;64.03334)	C	very high	1	female	1	
310	<16.13336;32.10002)	S	very high	1	female	1	
311	<48.06668;64.03334)	S	very high	1	male	0	
312	<32.10002;48.06668)	S	very high	1	female	1	
313	<48.06668;64.03334)	C	very high	1	male	0	
314	<16.13336;32.10002)	C	very high	1	male	0	
315	<48.06668;64.03334)	C	very high	1	female	1	
316	<16.13336;32.10002)	S	higher	1	female	1	
317	<48.06668;64.03334)	C	very high	1	male	0	
318	<16.13336;32.10002)	C	very high	1	male	1	
319		S	higher	1	male	0	
320	<16.13336;32.10002)	C	very high	1	female	1	
321		S	higher	1	male	1	
322	<48.06668;64.03334)	S	higher	1	male	0	
323	<32.10002;48.06668)	C	very high	1	female	1	
324	<16.13336;32.10002)	C	higher	2	male	0	
325	<16.13336;32.10002)	C	higher	2	female	1	
326	<16.13336;32.10002)	S	avg	2	male	0	
327	<16.13336;32.10002)	S	avg	2	male	0	
328	<16.13336;32.10002)	S	avg	2	male	0	
329	<32.10002;48.06668)	S	higher	2	male	0	
330	<32.10002;48.06668)	S	higher	2	female	1	
331	<48.06668;64.03334)	S	avg	2	male	0	
332	<16.13336;32.10002)	S	avg	2	male	0	
333	<16.13336;32.10002)	S	avg	2	male	0	
334	<32.10002;48.06668)	S	avg	2	female	1	
335	<16.13336;32.10002)	S	avg	2	male	0	
336	<48.06668;64.03334)	S	avg	2	male	0	
337	<16.13336;32.10002)	S	higher	2	male	1	
338	<16.13336;32.10002)	S	higher	2	female	1	
339	<16.13336;32.10002)	S	higher	2	male	0	
340	<0.1667;16.13336)	S	higher	2	male	1	
341	<0.1667;16.13336)	S	higher	2	female	1	
342	<0.1667;16.13336)	S	higher	2	female	1	
343	<32.10002;48.06668)	S	higher	2	female	1	
344	<32.10002;48.06668)	S	avg	2	male	1	
345	<16.13336;32.10002)	S	avg	2	female	1	
346	<16.13336;32.10002)	S	avg	2	male	0	
347	<16.13336;32.10002)	S	avg	2	male	0	
348	<32.10002;48.06668)	S	avg	2	male	0	
349	<16.13336;32.10002)	S	avg	2	male	0	
350	<16.13336;32.10002)	S	avg	2	female	1	
351	<0.1667;16.13336)	S	higher	2	female	1	
352	<48.06668;64.03334)	S	higher	2	male	0	
353	<32.10002;48.06668)	S	higher	2	female	1	
354	<16.13336;32.10002)	S	higher	2	female	1	
355	<16.13336;32.10002)	S	higher	2	male	0	
356	<32.10002;48.06668)	S	avg	2	female	1	
357	<16.13336;32.10002)	S	avg	2	male	0	
358	<32.10002;48.06668)	S	avg	2	male	0	
359	<32.10002;48.06668)	S	avg	2	female	1	
360	<0.1667;16.13336)	S	higher	2	male	1	
361	<16.13336;32.10002)	S	higher	2	male	1	
362	<16.13336;32.10002)	S	higher	2	female	1	
363	<32.10002;48.06668)	S	avg	2	female	1	
364		S	very low	2	male	0	
365	<16.13336;32.10002)	S	avg	2	male	0	
366	<32.10002;48.06668)	S	higher	2	female	0	
367	<48.06668;64.03334)	S	higher	2	male	0	
368	<48.06668;64.03334)	S	avg	2	male	0	
369	<32.10002;48.06668)	S	higher	2	male	0	
370	<16.13336;32.10002)	S	higher	2	female	0	
371	<16.13336;32.10002)	S	higher	2	female	1	
372	<32.10002;48.06668)	S	higher	2	female	1	
373	<16.13336;32.10002)	S	higher	2	male	0	
374	<16.13336;32.10002)	S	higher	2	female	1	
375	<16.13336;32.10002)	S	avg	2	male	0	
376	<16.13336;32.10002)	S	avg	2	male	0	
377	<16.13336;32.10002)	S	avg	2	male	1	
378	<0.1667;16.13336)	S	higher	2	female	1	
379	<16.13336;32.10002)	S	higher	2	male	0	
380	<16.13336;32.10002)	S	higher	2	female	1	
381	<16.13336;32.10002)	S	avg	2	female	1	
382	<16.13336;32.10002)	S	avg	2	female	0	
383		S	avg	2	female	0	
384	<16.13336;32.10002)	S	avg	2	male	0	
385		S	very low	2	male	0	
386	<0.1667;16.13336)	S	higher	2	male	1	
387	<16.13336;32.10002)	S	very high	2	male	0	
388	<32.10002;48.06668)	S	higher	2	female	1	
389	<16.13336;32.10002)	S	avg	2	female	1	
390	<16.13336;32.10002)	S	avg	2	male	0	
391	<16.13336;32.10002)	S	very high	2	male	0	
392	<16.13336;32.10002)	C	higher	2	male	0	
393	<16.13336;32.10002)	C	higher	2	female	1	
394	<16.13336;32.10002)	S	higher	2	male	0	
395	<16.13336;32.10002)	S	very high	2	male	0	
396	<16.13336;32.10002)	S	higher	2	female	1	
397	<32.10002;48.06668)	S	higher	2	female	1	
398	<48.06668;64.03334)	S	higher	2	male	0	
399	<0.1667;16.13336)	S	higher	2	male	1	
400	<32.10002;48.06668)	S	higher	2	male	0	
401	<32.10002;48.06668)	S	higher	2	female	1	
402	<16.13336;32.10002)	C	avg	2	female	1	
403	<16.13336;32.10002)	C	avg	2	female	1	
404	<16.13336;32.10002)	S	avg	2	male	0	
405	<16.13336;32.10002)	S	avg	2	male	0	
